tester_id,opt_in_confirmed_date,installed,pantry_tested,date_input_tested,label_parser_tested,grocery_tested,meal_ideas_tested,feedback_received,still_opted_in_day_14,notes
tester-01,,no,no,no,no,no,no,no,no,
tester-02,,no,no,no,no,no,no,no,no,
tester-03,,no,no,no,no,no,no,no,no,
tester-04,,no,no,no,no,no,no,no,no,
tester-05,,no,no,no,no,no,no,no,no,
tester-06,,no,no,no,no,no,no,no,no,
tester-07,,no,no,no,no,no,no,no,no,
tester-08,,no,no,no,no,no,no,no,no,
tester-09,,no,no,no,no,no,no,no,no,
tester-10,,no,no,no,no,no,no,no,no,
tester-11,,no,no,no,no,no,no,no,no,
tester-12,,no,no,no,no,no,no,no,no,
tester-13,,no,no,no,no,no,no,no,no,
tester-14,,no,no,no,no,no,no,no,no,
tester-15,,no,no,no,no,no,no,no,no,
tester-16,,no,no,no,no,no,no,no,no,
tester-17,,no,no,no,no,no,no,no,no,
tester-18,,no,no,no,no,no,no,no,no,
tester-19,,no,no,no,no,no,no,no,no,
tester-20,,no,no,no,no,no,no,no,no,
