filename,caption,alt_text
phone_screenshots/01_home.png,"See pantry count, expiry warnings, grocery items, and storage zones from the dashboard.","PantryPilot dashboard showing pantry totals, expiry count, grocery list count, and plan status."
phone_screenshots/02_scan.png,"Review package photos before adding pantry items.","Scanner screen with import photo, take photo, and sample label controls."
phone_screenshots/03_scan_parser.png,"Paste label text from camera OCR, receipts, or notes to draft item fields.","Label text parser section for pasted package or receipt text."
phone_screenshots/04_pantry.png,"Keep food organized by fridge, freezer, pantry, counter, and other zones.","Categorized pantry inventory with food cards and expiry information."
phone_screenshots/05_grocery.png,"Build grocery lists by category and clear checked items.","Grocery list screen with grouped shopping items and checklist controls."
phone_screenshots/06_meals.png,"Get local meal ideas from what is already in your kitchen.","Meal ideas generated from pantry items with local offline planning."
tablet_7_screenshots/01_home.png,"See the PantryPilot dashboard on a 7-inch tablet.","PantryPilot dashboard rendered on a 7-inch Android tablet."
tablet_7_screenshots/02_scan_parser.png,"Review drafted package details on a 7-inch tablet.","PantryPilot label parser rendered on a 7-inch Android tablet."
tablet_7_screenshots/03_pantry.png,"Organize pantry items on a 7-inch tablet.","Categorized PantryPilot inventory rendered on a 7-inch Android tablet."
tablet_7_screenshots/04_meals.png,"Plan meals from pantry items on a 7-inch tablet.","PantryPilot meal ideas rendered on a 7-inch Android tablet."
tablet_10_screenshots/01_home.png,"See the PantryPilot dashboard on a 10-inch tablet.","PantryPilot dashboard rendered on a 10-inch Android tablet."
tablet_10_screenshots/02_scan_parser.png,"Review drafted package details on a 10-inch tablet.","PantryPilot label parser rendered on a 10-inch Android tablet."
tablet_10_screenshots/03_pantry.png,"Organize pantry items on a 10-inch tablet.","Categorized PantryPilot inventory rendered on a 10-inch Android tablet."
tablet_10_screenshots/04_meals.png,"Plan meals from pantry items on a 10-inch tablet.","PantryPilot meal ideas rendered on a 10-inch Android tablet."
